id,bolets_id,name,lon,lat,elev,n_days,coverage,miss_precip,source_mode,xema_style_id,xema_style_lon,xema_style_lat,xema_style_elev,xema_style_flag
ESCAT1700000017707A,MC_ESCAT1700000017707A,Agullana  (Girona),2.85,42.39,170,1,1,0,smoke,MC_ESCAT1700000017707A,2.85,42.39,170,1
ESCAT1700000017722A,MC_ESCAT1700000017722A,Darnius (Girona),2.83,42.37,198,1,1,0,smoke,MC_ESCAT1700000017722A,2.83,42.37,198,1
ESCAT1700000017730A,MC_ESCAT1700000017730A,Llers (Girona),2.91,42.29,164,1,1,0,smoke,MC_ESCAT1700000017730A,2.91,42.29,164,1
ESCAT1700000017733B,MC_ESCAT1700000017733B,Albanyà - Can Rossinyol (Girona),2.72,42.3,239,1,1,0,smoke,MC_ESCAT1700000017733B,2.72,42.3,239,1
ESCAT1700000017751A,MC_ESCAT1700000017751A,Sant Climent Sescebes (Girona),2.98,42.37,82,1,1,0,smoke,MC_ESCAT1700000017751A,2.98,42.37,82,1
ESCAT1700000017770B,MC_ESCAT1700000017770B,Borrassà (Girona),2.93,42.22,73,1,1,0,smoke,MC_ESCAT1700000017770B,2.93,42.22,73,1
ESCAT1700000017800B,MC_ESCAT1700000017800B,Olot-SPM (Girona),2.48,42.18,489,1,1,0,smoke,MC_ESCAT1700000017800B,2.48,42.18,489,1
ESCAT1700000017800D,MC_ESCAT1700000017800D,Olot - Costa del Gegant (Girona),2.5,42.17,509,1,1,0,smoke,MC_ESCAT1700000017800D,2.5,42.17,509,1
ESCAT1700000017820B,MC_ESCAT1700000017820B,Banyoles - INS el Pla (Girona),2.77,42.11,170,1,1,0,smoke,MC_ESCAT1700000017820B,2.77,42.11,170,1
ESCAT1700000017830A,MC_ESCAT1700000017830A,Mieres (Girona),2.64,42.13,286,1,1,0,smoke,MC_ESCAT1700000017830A,2.64,42.13,286,1
ESCAT1700000017846B,MC_ESCAT1700000017846B,Porqueres (Mata) (Girona),2.78,42.1,140,1,1,0,smoke,MC_ESCAT1700000017846B,2.78,42.1,140,1
ESCAT1700000017856A,MC_ESCAT1700000017856A,Castellfollit de la Roca (Girona),2.55,42.22,325,1,1,0,smoke,MC_ESCAT1700000017856A,2.55,42.22,325,1
ESCAT2500000025177A,MC_ESCAT2500000025177A,La Granadella (Lleida),0.67,41.35,528,1,1,0,smoke,MC_ESCAT2500000025177A,0.67,41.35,528,1
ESCAT2500000025199A,MC_ESCAT2500000025199A,Lleida - Ciutat Jardí (Lleida),0.58,41.63,207,1,1,0,smoke,MC_ESCAT2500000025199A,0.58,41.63,207,1
ESCAT2500000025199B,MC_ESCAT2500000025199B,Lleida-Ciutat Jardí Pro2 (Lleida),0.59,41.63,209,1,1,0,smoke,MC_ESCAT2500000025199B,0.59,41.63,209,1
ESCAT2500000025284E,MC_ESCAT2500000025284E,Port del Comte 6Q3R (Lleida),1.57,42.18,1788,1,1,0,smoke,MC_ESCAT2500000025284E,1.57,42.18,1788,1
ESCAT2500000025316A,MC_ESCAT2500000025316A,Pradell de Sió (Lleida),1.03,41.8,316,1,1,0,smoke,MC_ESCAT2500000025316A,1.03,41.8,316,1
ESCAT2500000025334B,MC_ESCAT2500000025334B,Castellserà (Lleida),0.99,41.74,265,1,1,0,smoke,MC_ESCAT2500000025334B,0.99,41.74,265,1
ESCAT2500000025400A,MC_ESCAT2500000025400A,Les Borges Blanques (Lleida),0.88,41.52,310,1,1,0,smoke,MC_ESCAT2500000025400A,0.88,41.52,310,1
ESCAT2500000025412A,MC_ESCAT2500000025412A,Els Omellons (Lleida),0.96,41.5,410,1,1,0,smoke,MC_ESCAT2500000025412A,0.96,41.5,410,1
ESCAT2500000025412C,MC_ESCAT2500000025412C,Els Omellons (Lleida),0.96,41.5,410,1,1,0,smoke,MC_ESCAT2500000025412C,0.96,41.5,410,1
ESCAT2500000025450A,MC_ESCAT2500000025450A,L'Albi (Lleida),0.94,41.43,530,1,1,0,smoke,MC_ESCAT2500000025450A,0.94,41.43,530,1
ESCAT2500000025460B,MC_ESCAT2500000025460B,Cervià de les Garrigues (Lleida),0.86,41.42,444,1,1,0,smoke,MC_ESCAT2500000025460B,0.86,41.42,444,1
ESCAT2500000025515A,MC_ESCAT2500000025515A,La Torre de Cabdella  (Lleida),0.99,42.47,1425,1,1,0,smoke,MC_ESCAT2500000025515A,0.99,42.47,1425,1
ESCAT2500000025518A,MC_ESCAT2500000025518A,Sant Martí de Canals (Lleida),0.99,42.23,650,1,1,0,smoke,MC_ESCAT2500000025518A,0.99,42.23,650,1
ESCAT2500000025527A,MC_ESCAT2500000025527A,Barruera (Lleida),0.8,42.5,1090,1,1,0,smoke,MC_ESCAT2500000025527A,0.8,42.5,1090,1
